#年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2023/04/23,14.7,22.6,9.2
2023/04/24,13.5,16.8,11.3
2023/04/25,13.1,16.3,10.2
2023/04/26,14.6,16.5,10.7
2023/04/27,15.9,21.1,9.9
2023/04/28,17.3,22.5,11.9
2023/04/29,18.4,24.0,14.6
2023/04/30,17.5,19.8,14.7
